Henry Wadsworth Longfellow
useage count , word used
1, cannot
1, calls
1, call
1, caesar
1, cabin
1, burning
1, burned
1, build
1, brooklet
1, broad
1, brings
1, brim
1, bright
1, bridge
1, bridal
1, boy
1, botolphs
1, books
1, blueeyed
1, blast
1, blas
1, blank
1, black
1, bird
1, bewildered
1, between
1, beside
1, bent
1, belfry
1, behold
1, began
1, beechen
1, becalmed
1, beauty
1, bay
1, bavons
1, battle
1, baths
1, basin
1, bartimeus
1, bard
1, bar
1, baltic
1, awhile
1, away
1, awake
1, autumns
1, augustine
1, audience
1, ashamed
1, artist
1, arsenal
1, arrow
1, arrayed
1, arose
1, architects
1, appears
1, apollo
1, antique
1, antano
1, anngy
1, among
1, alto
1, along
1, aloft
1, alfreds
1, ale
1, al
1, ago
1, adown
1, across
1, acadian
1, absence
1, above
1, about
1, 22
1, 1838
